Team,Pos,Penalty,Games,Name,Age,Tgt,Rec,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Fumbles,PPG,ol,rb,wr,qb,te
crd,WR,1.0,8,Andre Baccellia,26.0,1.25,0.875,0.0,0.0,0.0,5.625,0.0,0.0,1.0,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,1.0,12,Marquise Brown,26.0,8.916666666666666,5.583333333333333,0.08333333333333333,0.0,0.08333333333333333,59.083333333333336,0.25,0.08333333333333333,10.041666666666668,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,RB,1.0,9,Corey Clement,29.0,0.7777777777777778,0.5555555555555556,6.111111111111111,0.1111111111111111,1.6666666666666667,6.0,0.0,0.0,2.1555555555555554,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,RB,1.0,13,James Conner,28.0,4.461538461538462,3.5384615384615383,60.15384615384615,0.5384615384615384,14.076923076923077,23.076923076923077,0.07692307692307693,0.23076923076923078,13.323076923076925,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,0.9384615384615385,13,Pharoh Cooper,28.0,1.0,0.46153846153846156,1.3846153846153846,0.0,0.38461538461538464,3.0,0.0,0.0,0.6692307692307693,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,1.0,16,Greg Dortch,25.0,4.0,3.25,2.75,0.0,0.4375,29.1875,0.125,0.0625,5.44375,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,TE,1.0,10,Zach Ertz,33.0,6.9,4.7,0.0,0.0,0.0,40.6,0.4,0.0,8.81,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,1.0,9,DeAndre Hopkins,31.0,10.666666666666666,7.111111111111111,0.0,0.0,0.0,79.66666666666667,0.3333333333333333,0.2222222222222222,13.07777777777778,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,RB,1.0,12,Keaontay Ingram,24.0,0.4166666666666667,0.3333333333333333,5.0,0.08333333333333333,2.25,1.75,0.0,0.0,1.3416666666666668,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,TE,1.0,16,Trey McBride,24.0,2.4375,1.8125,0.0,0.0,0.0,16.5625,0.0625,0.0625,2.8125,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,1.0,8,Rondale Moore,23.0,7.0,5.125,-0.625,0.0,0.75,51.75,0.125,0.0,8.425,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,1.0,17,Zach Pascal,29.0,1.1176470588235294,0.8823529411764706,0.0,0.0,0.058823529411764705,8.823529411764707,0.058823529411764705,0.0,1.6764705882352942,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,0.9,7,Auden Tate,26.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,5.571428571428571,0.14285714285714285,0.0,1.6285714285714283,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,RB,0.9071428571428573,14,Ty\'Son Williams,27.0,0.9285714285714286,0.7142857142857143,13.214285714285714,0.07142857142857142,2.5,6.357142857142857,0.0,0.07142857142857142,2.6,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,WR,0.8,13,Javon Wims,29.0,0.9230769230769231,0.46153846153846156,0.15384615384615385,0.0,0.07692307692307693,3.6923076923076925,0.07692307692307693,0.0,1.076923076923077,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
atl,RB,1.0,16,Tyler Allgeier,23.0,1.0625,1.0,64.6875,0.1875,13.125,8.6875,0.0625,0.0,9.3375,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,WR,0.9333333333333333,15,Frank Darby,26.0,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,1.9333333333333333,0.0,0.0,0.26,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,TE,1.0,11,Feleipe Franks,26.0,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,TE,1.0,17,Parker Hesse,28.0,0.6470588235294118,0.5294117647058824,0.0,0.0,0.0,5.235294117647059,0.0,0.0,0.7882352941176471,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,WR,1.0,17,KhaDarel Hodge,28.0,1.1764705882352942,0.7647058823529411,0.0,0.0,0.0,11.882352941176471,0.058823529411764705,0.0,1.9235294117647057,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,WR,1.0,17,Mack Hollins,30.0,5.529411764705882,3.3529411764705883,2.3529411764705883,0.0,0.23529411764705882,40.588235294117645,0.23529411764705882,0.0,7.38235294117647,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,RB,1.0,12,Caleb Huntley,25.0,0.16666666666666666,0.16666666666666666,30.5,0.08333333333333333,6.333333333333333,0.25,0.0,0.08333333333333333,3.491666666666667,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,WR,1.0,17,Drake London,22.0,6.882352941176471,4.235294117647059,0.0,0.0,0.0,50.94117647058823,0.23529411764705882,0.17647058823529413,8.270588235294118,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,WR,1.0,15,Scott Miller,26.0,2.6666666666666665,1.5333333333333334,0.5333333333333333,0.0,0.06666666666666667,12.333333333333334,0.0,0.0,2.0533333333333332,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,RB,1.0,13,Cordarrelle Patterson,32.0,2.3846153846153846,1.6153846153846154,53.46153846153846,0.6153846153846154,11.076923076923077,9.384615384615385,0.0,0.07692307692307693,10.630769230769234,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,TE,1.0,10,Kyle Pitts,23.0,5.9,2.8,0.0,0.0,0.0,35.6,0.2,0.0,6.16,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,TE,1.0,14,Jonnu Smith,28.0,2.7142857142857144,1.9285714285714286,0.35714285714285715,0.0,0.07142857142857142,17.5,0.0,0.07142857142857142,2.607142857142857,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
atl,RB,1.0,17,Keith Smith,31.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.47058823529411764,0.0,0.0,0.08823529411764705,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
